n,x,v
456,0.701233,-1.31292
457,0.694668,-1.34457
458,0.687946,-1.37597
459,0.681066,-1.40711
460,0.67403,-1.438
461,0.66684,-1.46861
462,0.659497,-1.49895
463,0.652002,-1.529
464,0.644357,-1.55876
465,0.636564,-1.58823
466,0.628622,-1.61738
467,0.620536,-1.64623
468,0.612304,-1.67475
469,0.603931,-1.70294
470,0.595416,-1.7308
471,0.586762,-1.7583
472,0.57797,-1.78546
473,0.569043,-1.81226
474,0.559982,-1.83869
475,0.550788,-1.86474
476,0.541465,-1.89041
477,0.532013,-1.91569
478,0.522434,-1.94058
479,0.512731,-1.96505
480,0.502906,-1.98911
481,0.49296,-2.01275
482,0.482897,-2.03597
483,0.472717,-2.05874
484,0.462423,-2.08107
485,0.452018,-2.10296
486,0.441503,-2.12438
487,0.430881,-2.14534
488,0.420154,-2.16583
489,0.409325,-2.18583
490,0.398396,-2.20536
491,0.387369,-2.22438
492,0.376247,-2.24291
493,0.365033,-2.26094
494,0.353728,-2.27845
495,0.342336,-2.29544
496,0.330859,-2.3119
497,0.319299,-2.32784
498,0.30766,-2.34323
499,0.295944,-2.35809
500,0.284153,-2.37239
501,0.272292,-2.38614
502,0.260361,-2.39933
503,0.248364,-2.41196
504,0.236304,-2.42402
505,0.224184,-2.4355
506,0.212007,-2.44641
507,0.199775,-2.45673
508,0.187491,-2.46646
509,0.175159,-2.4756
510,0.162781,-2.48415
511,0.15036,-2.4921
512,0.137899,-2.49945
513,0.125402,-2.50619
514,0.112871,-2.51233
515,0.10031,-2.51785
516,0.0877204,-2.52276
517,0.0751066,-2.52706
518,0.0624713,-2.53074
519,0.0498176,-2.5338
520,0.0371486,-2.53624
521,0.0244674,-2.53807
522,0.011777,-2.53927
523,-0.000919283,-2.53984
524,-0.0136185,-2.5398
525,-0.0263175,-2.53913
526,-0.0390131,-2.53784
527,-0.0517023,-2.53593
528,-0.064382,-2.53339
529,-0.0770489,-2.53024
530,-0.0897001,-2.52646
531,-0.102332,-2.52207
532,-0.114943,-2.51706
533,-0.127528,-2.51143
534,-0.140085,-2.50519
535,-0.152611,-2.49834
536,-0.165103,-2.49089
537,-0.177557,-2.48283
538,-0.189971,-2.47416
539,-0.202342,-2.4649
540,-0.214667,-2.45504
541,-0.226942,-2.44459
542,-0.239165,-2.43356
543,-0.251333,-2.42194
544,-0.263442,-2.40974
545,-0.275491,-2.39697
546,-0.287476,-2.38362
547,-0.299394,-2.36972
548,-0.311243,-2.35525
549,-0.323019,-2.34023
550,-0.33472,-2.32466
551,-0.346343,-2.30855
552,-0.357886,-2.2919
553,-0.369346,-2.27471
554,-0.380719,-2.25701
555,-0.392004,-2.23878
556,-0.403198,-2.22004
557,-0.414298,-2.20079
558,-0.425302,-2.18105
559,-0.436207,-2.16081
560,-0.447011,-2.14009
561,-0.457712,-2.11889
562,-0.468306,-2.09721
563,-0.478792,-2.07507
564,-0.489168,-2.05247
565,-0.49943,-2.02942
566,-0.509577,-2.00593
567,-0.519607,-1.98201
568,-0.529517,-1.95765
569,-0.539305,-1.93287
570,-0.54897,-1.90769
571,-0.558508,-1.88209
572,-0.567918,-1.8561
573,-0.577199,-1.82972
574,-0.586348,-1.80295
575,-0.595362,-1.77581
576,-0.604241,-1.7483
577,-0.612983,-1.72043
578,-0.621585,-1.69222
579,-0.630046,-1.66365
580,-0.638364,-1.63475
581,-0.646538,-1.60553
582,-0.654566,-1.57598
583,-0.662446,-1.54611
584,-0.670176,-1.51595
585,-0.677756,-1.48548
586,-0.685183,-1.45472
587,-0.692457,-1.42368
588,-0.699575,-1.39237
589,-0.706537,-1.36079
590,-0.713341,-1.32894
591,-0.719986,-1.29685
592,-0.72647,-1.2645
593,-0.732793,-1.23192
594,-0.738952,-1.19911
595,-0.744948,-1.16607
596,-0.750778,-1.13282
597,-0.756442,-1.09936
598,-0.761939,-1.06569
599,-0.767267,-1.03183
600,-0.772427,-0.997785
601,-0.777416,-0.963555
602,-0.782233,-0.929149
603,-0.786879,-0.894575
604,-0.791352,-0.85984
605,-0.795651,-0.824951
606,-0.799776,-0.789914
607,-0.803726,-0.754735
608,-0.807499,-0.719421
609,-0.811096,-0.68398
610,-0.814516,-0.648417
611,-0.817758,-0.612738
612,-0.820822,-0.57695
613,-0.823707,-0.54106
614,-0.826412,-0.505074
615,-0.828937,-0.468997
616,-0.831282,-0.432837
617,-0.833447,-0.396599
618,-0.83543,-0.360289
619,-0.837231,-0.323915
620,-0.838851,-0.287481
621,-0.840288,-0.250994
622,-0.841543,-0.214459
623,-0.842615,-0.177884
624,-0.843505,-0.141274
625,-0.844211,-0.104635
626,-0.844734,-0.0679724
627,-0.845074,-0.0312931
628,-0.845231,0.0053973
629,-0.845204,0.0420928
630,-0.844993,0.0787874
631,-0.844599,0.115475
632,-0.844022,0.15215
633,-0.843261,0.188806
634,-0.842317,0.225438
635,-0.84119,0.262038
636,-0.83988,0.298602
637,-0.838387,0.335122
638,-0.836711,0.371594
639,-0.834853,0.408011
640,-0.832813,0.444367
641,-0.830591,0.480655
642,-0.828188,0.516871
643,-0.825603,0.553006
644,-0.822838,0.589056
645,-0.819893,0.625013
646,-0.816768,0.660872
647,-0.813464,0.696627
648,-0.809981,0.73227
649,-0.806319,0.767796
650,-0.80248,0.803197
651,-0.798464,0.838468
652,-0.794272,0.873602
653,-0.789904,0.908592
654,-0.785361,0.943431
655,-0.780644,0.978114
656,-0.775753,1.01263
657,-0.77069,1.04698
658,-0.765455,1.08115
659,-0.760049,1.11513
660,-0.754474,1.14893
661,-0.748729,1.18252
662,-0.742817,1.21591
663,-0.736737,1.24909
664,-0.730492,1.28204
665,-0.724081,1.31477
666,-0.717507,1.34726
667,-0.710771,1.37951
668,-0.703874,1.41152
669,-0.696816,1.44326
670,-0.6896,1.47474
671,-0.682226,1.50595
672,-0.674696,1.53687
673,-0.667012,1.56751
674,-0.659174,1.59786
675,-0.651185,1.6279
676,-0.643046,1.65763
677,-0.634757,1.68704
678,-0.626322,1.71613
679,-0.617742,1.74488
680,-0.609017,1.77329
681,-0.600151,1.80135
682,-0.591144,1.82905
683,-0.581999,1.85638
684,-0.572717,1.88335
685,-0.5633,1.90993
686,-0.553751,1.93612
687,-0.54407,1.96191
688,-0.53426,1.9873
689,-0.524324,2.01228
690,-0.514262,2.03684
691,-0.504078,2.06096
692,-0.493773,2.08465
693,-0.48335,2.1079
694,-0.472811,2.1307
695,-0.462157,2.15304
696,-0.451392,2.17491
697,-0.440517,2.1963
698,-0.429536,2.21722
699,-0.41845,2.23764
700,-0.407262,2.25758
701,-0.395974,2.277
702,-0.384589,2.29592
703,-0.373109,2.31433
704,-0.361538,2.3322
705,-0.349876,2.34955
706,-0.338129,2.36637
707,-0.326297,2.38264
708,-0.314384,2.39836
709,-0.302392,2.41353
710,-0.290324,2.42814
711,-0.278184,2.44218
712,-0.265973,2.45565
713,-0.253694,2.46854
714,-0.241352,2.48085
715,-0.228947,2.49257
716,-0.216485,2.50371
717,-0.203966,2.51424
718,-0.191395,2.52418
719,-0.178774,2.53351
720,-0.166106,2.54223
721,-0.153395,2.55034
722,-0.140644,2.55783
723,-0.127854,2.56471
724,-0.115031,2.57096
725,-0.102176,2.57659
726,-0.0892931,2.5816
727,-0.0763851,2.58597
728,-0.0634552,2.58971
729,-0.0505067,2.59282
730,-0.0375425,2.5953
731,-0.024566,2.59714
732,-0.0115803,2.59835
733,0.0014114,2.59892
734,0.014406,2.59885
735,0.0274002,2.59814
736,0.0403909,2.5968
737,0.0533749,2.59481
738,0.066349,2.5922
739,0.0793099,2.58895
740,0.0922547,2.58506
741,0.10518,2.58054
742,0.118083,2.57539
743,0.13096,2.56961
744,0.143808,2.56321
745,0.156624,2.55618
746,0.169405,2.54853
747,0.182147,2.54026
748,0.194849,2.53137
749,0.207505,2.52188
750,0.220115,2.51177
751,0.232674,2.50106
752,0.245179,2.48975
753,0.257628,2.47785
754,0.270017,2.46535
755,0.282344,2.45226
756,0.294605,2.4386
757,0.306798,2.42436
758,0.31892,2.40954
759,0.330967,2.39416
760,0.342938,2.37822
761,0.354829,2.36173
762,0.366638,2.34469
763,0.378362,2.32711
764,0.389997,2.30899
765,0.401542,2.29034
766,0.412994,2.27117
767,0.42435,2.25148
768,0.435607,2.23129
769,0.446763,2.21059
770,0.457816,2.1894
771,0.468763,2.16772
772,0.479602,2.14556
773,0.49033,2.12292
774,0.500944,2.09983
775,0.511443,2.07627
776,0.521825,2.05226
777,0.532086,2.02781
778,0.542225,2.00293
779,0.55224,1.97762
780,0.562128,1.95189
781,0.571887,1.92574
782,0.581516,1.8992
783,0.591012,1.87225
784,0.600373,1.84492
785,0.609598,1.81721
786,0.618684,1.78913
787,0.62763,1.76068
788,0.636433,1.73188
789,0.645092,1.70273
790,0.653606,1.67323
791,0.661972,1.64341
792,0.670189,1.61326
793,0.678256,1.58279
794,0.686169,1.55202
795,0.69393,1.52094
796,0.701534,1.48957
797,0.708982,1.45791
798,0.716272,1.42598
799,0.723402,1.39377
800,0.73037,1.3613
801,0.737177,1.32858
802,0.74382,1.29561
803,0.750298,1.2624
804,0.75661,1.22895
805,0.762755,1.19528
806,0.768731,1.16139
807,0.774538,1.12729
808,0.780174,1.09299
809,0.785639,1.05848
810,0.790932,1.02379
811,0.796051,0.988918
812,0.800995,0.953867
813,0.805765,0.918646
814,0.810358,0.883264
815,0.814774,0.847725
816,0.819013,0.812038
817,0.823073,0.776208
818,0.826954,0.740243
819,0.830655,0.704148
820,0.834176,0.667931
821,0.837516,0.631598
822,0.840674,0.595154
823,0.843649,0.558608
824,0.846442,0.521964
825,0.849052,0.485229
826,0.851478,0.448409
827,0.85372,0.411511
828,0.855778,0.37454
829,0.857651,0.337504
830,0.859338,0.300407
831,0.86084,0.263256
832,0.862157,0.226057
833,0.863287,0.188816
834,0.864231,0.151538
835,0.864989,0.114231
836,0.86556,0.0768999
837,0.865944,0.0395503
838,0.866142,0.00218858
839,0.866153,-0.0351795
840,0.865977,-0.0725478
841,0.865614,-0.109911
842,0.865065,-0.147262
843,0.864328,-0.184596
844,0.863406,-0.221906
845,0.862296,-0.259187
846,0.861,-0.296433
847,0.859518,-0.333637
848,0.85785,-0.370793
849,0.855996,-0.407897
850,0.853956,-0.44494
851,0.851732,-0.481919
852,0.849322,-0.518825
853,0.846728,-0.555653
854,0.84395,-0.592397
855,0.840988,-0.629051
856,0.837842,-0.665608
857,0.834514,-0.702062
858,0.831004,-0.738407
859,0.827312,-0.774636
860,0.823439,-0.810742
861,0.819385,-0.84672
862,0.815151,-0.882562
863,0.810739,-0.918262
864,0.806147,-0.953813
865,0.801378,-0.989209
866,0.796432,-1.02444
867,0.79131,-1.05951
868,0.786012,-1.09439
869,0.780541,-1.1291
870,0.774895,-1.16361
871,0.769077,-1.19793
872,0.763087,-1.23204
873,0.756927,-1.26595
874,0.750597,-1.29963
875,0.744099,-1.33308
876,0.737434,-1.36631
877,0.730602,-1.39929
878,0.723606,-1.43202
879,0.716446,-1.46449
880,0.709123,-1.49671
881,0.70164,-1.52865
882,0.693997,-1.56031
883,0.686195,-1.59168
884,0.678237,-1.62276
885,0.670123,-1.65353
886,0.661855,-1.684
887,0.653435,-1.71414
888,0.644864,-1.74396
889,0.636145,-1.77344
890,0.627277,-1.80258
891,0.618265,-1.83137
892,0.609108,-1.8598
893,0.599809,-1.88787
894,0.590369,-1.91555
895,0.580792,-1.94286
896,0.571077,-1.96977
897,0.561228,-1.99629
898,0.551247,-2.02239
899,0.541135,-2.04808
900,0.530895,-2.07335
901,0.520528,-2.09818
902,0.510037,-2.12258
903,0.499424,-2.14652
904,0.488692,-2.17001
905,0.477841,-2.19304
906,0.466876,-2.2156
907,0.455798,-2.23767
908,0.44461,-2.25927
909,0.433314,-2.28036
910,0.421912,-2.30096
911,0.410407,-2.32104
912,0.398802,-2.34061
913,0.387099,-2.35966
914,0.3753,-2.37818
915,0.363409,-2.39616
916,0.351429,-2.41359
917,0.339361,-2.43048
918,0.327208,-2.4468
919,0.314974,-2.46257
920,0.302661,-2.47776
921,0.290273,-2.49238
922,0.277811,-2.50642
923,0.265279,-2.51988
924,0.252679,-2.53274
925,0.240016,-2.545
926,0.227291,-2.55666
927,0.214507,-2.56771
928,0.201669,-2.57815
929,0.188778,-2.58798
930,0.175838,-2.59718
931,0.162852,-2.60576
932,0.149823,-2.61371
933,0.136755,-2.62104
934,0.12365,-2.62772
935,0.110511,-2.63377
936,0.0973421,-2.63918
937,0.0841462,-2.64395
938,0.0709265,-2.64807
939,0.0576861,-2.65155
940,0.0444284,-2.65438
941,0.0311565,-2.65655
942,0.0178737,-2.65808
943,0.00458333,-2.65896
944,-0.00871147,-2.65918
945,-0.0220074,-2.65876
946,-0.0353012,-2.65768
947,-0.0485895,-2.65595
948,-0.0618693,-2.65356
949,-0.0751371,-2.65053
950,-0.0883897,-2.64685
951,-0.101624,-2.64252
952,-0.114837,-2.63754
953,-0.128024,-2.63192
954,-0.141184,-2.62566
955,-0.154312,-2.61876
956,-0.167406,-2.61122
957,-0.180462,-2.60305
958,-0.193477,-2.59424
959,-0.206449,-2.58481
960,-0.219373,-2.57476
961,-0.232246,-2.56408
962,-0.245067,-2.55279
963,-0.257831,-2.54089
964,-0.270535,-2.52839
