n,x,v
301,0.0588985,-0.253547
302,0.058645,-0.254124
303,0.0583909,-0.254699
304,0.0581362,-0.255272
305,0.0578809,-0.255842
306,0.0576251,-0.256409
307,0.0573686,-0.256974
308,0.0571117,-0.257537
309,0.0568541,-0.258097
310,0.056596,-0.258654
311,0.0563374,-0.259209
312,0.0560782,-0.259762
313,0.0558184,-0.260311
314,0.0555581,-0.260859
315,0.0552972,-0.261403
316,0.0550358,-0.261946
317,0.0547739,-0.262485
318,0.0545114,-0.263022
319,0.0542484,-0.263557
320,0.0539848,-0.264089
321,0.0537207,-0.264618
322,0.0534561,-0.265145
323,0.053191,-0.265669
324,0.0529253,-0.26619
325,0.0526591,-0.266709
326,0.0523924,-0.267226
327,0.0521252,-0.26774
328,0.0518574,-0.268251
329,0.0515892,-0.268759
330,0.0513204,-0.269265
331,0.0510512,-0.269768
332,0.0507814,-0.270269
333,0.0505111,-0.270767
334,0.0502404,-0.271262
335,0.0499691,-0.271755
336,0.0496973,-0.272245
337,0.0494251,-0.272732
338,0.0491524,-0.273217
339,0.0488792,-0.273699
340,0.0486055,-0.274178
341,0.0483313,-0.274655
342,0.0480566,-0.275129
343,0.0477815,-0.2756
344,0.0475059,-0.276068
345,0.0472298,-0.276534
346,0.0469533,-0.276997
347,0.0466763,-0.277458
348,0.0463988,-0.277916
349,0.0461209,-0.278371
350,0.0458425,-0.278823
351,0.0455637,-0.279272
352,0.0452845,-0.279719
353,0.0450047,-0.280163
354,0.0447246,-0.280605
355,0.044444,-0.281043
356,0.0441629,-0.281479
357,0.0438814,-0.281912
358,0.0435995,-0.282343
359,0.0433172,-0.28277
360,0.0430344,-0.283195
361,0.0427512,-0.283617
362,0.0424676,-0.284036
363,0.0421836,-0.284453
364,0.0418991,-0.284866
365,0.0416142,-0.285277
366,0.041329,-0.285685
367,0.0410433,-0.286091
368,0.0407572,-0.286493
369,0.0404707,-0.286893
370,0.0401838,-0.28729
371,0.0398965,-0.287684
372,0.0396088,-0.288075
373,0.0393208,-0.288464
374,0.0390323,-0.288849
375,0.0387434,-0.289232
376,0.0384542,-0.289612
377,0.0381646,-0.289989
378,0.0378746,-0.290364
379,0.0375842,-0.290735
380,0.0372935,-0.291104
381,0.0370024,-0.29147
382,0.0367109,-0.291832
383,0.0364191,-0.292192
384,0.0361269,-0.29255
385,0.0358344,-0.292904
386,0.0355415,-0.293255
387,0.0352482,-0.293604
388,0.0349546,-0.29395
389,0.0346607,-0.294293
390,0.0343664,-0.294633
391,0.0340717,-0.29497
392,0.0337768,-0.295304
393,0.0334815,-0.295635
394,0.0331858,-0.295963
395,0.0328899,-0.296289
396,0.0325936,-0.296612
397,0.032297,-0.296931
398,0.032,-0.297248
399,0.0317028,-0.297562
400,0.0314052,-0.297873
401,0.0311073,-0.298181
402,0.0308092,-0.298486
403,0.0305107,-0.298788
404,0.0302119,-0.299087
405,0.0299128,-0.299384
406,0.0296134,-0.299677
407,0.0293137,-0.299968
408,0.0290138,-0.300255
409,0.0287135,-0.30054
410,0.028413,-0.300821
411,0.0281122,-0.3011
412,0.0278111,-0.301376
413,0.0275097,-0.301649
414,0.027208,-0.301918
415,0.0269061,-0.302185
416,0.0266039,-0.302449
417,0.0263015,-0.30271
418,0.0259988,-0.302968
419,0.0256958,-0.303223
420,0.0253926,-0.303475
421,0.0250891,-0.303724
422,0.0247854,-0.30397
423,0.0244814,-0.304214
424,0.0241772,-0.304454
425,0.0238727,-0.304691
426,0.023568,-0.304925
427,0.0232631,-0.305156
428,0.022958,-0.305384
429,0.0226526,-0.30561
430,0.022347,-0.305832
431,0.0220411,-0.306051
432,0.0217351,-0.306267
433,0.0214288,-0.30648
434,0.0211223,-0.306691
435,0.0208156,-0.306898
436,0.0205088,-0.307102
437,0.0202016,-0.307303
438,0.0198943,-0.307501
439,0.0195868,-0.307696
440,0.0192791,-0.307889
441,0.0189713,-0.308078
442,0.0186632,-0.308264
443,0.0183549,-0.308447
444,0.0180465,-0.308627
445,0.0177378,-0.308804
446,0.017429,-0.308978
447,0.0171201,-0.309149
448,0.0168109,-0.309317
449,0.0165016,-0.309482
450,0.0161921,-0.309644
451,0.0158825,-0.309803
452,0.0155727,-0.309958
453,0.0152627,-0.310111
454,0.0149526,-0.310261
455,0.0146423,-0.310407
456,0.0143319,-0.310551
457,0.0140214,-0.310692
458,0.0137107,-0.310829
459,0.0133999,-0.310964
460,0.0130889,-0.311095
461,0.0127778,-0.311224
462,0.0124666,-0.311349
463,0.0121552,-0.311471
464,0.0118438,-0.31159
465,0.0115322,-0.311707
466,0.0112205,-0.31182
467,0.0109086,-0.31193
468,0.0105967,-0.312037
469,0.0102847,-0.312141
470,0.00997253,-0.312242
471,0.00966029,-0.31234
472,0.00934795,-0.312434
473,0.00903552,-0.312526
